,predict,target
2019-07-29 18:32:00,81.7328109741211,21.0
2019-07-29 18:33:00,81.7317123413086,18.0
2019-07-29 18:34:00,81.7317123413086,18.0
2019-07-29 18:35:00,36.86996078491211,20.0
2019-07-29 18:36:00,36.87166213989258,21.0
2019-07-29 18:37:00,36.87166213989258,19.0
2019-07-29 18:38:00,36.87753677368164,20.0
2019-07-29 18:39:00,36.87661361694336,19.0
2019-07-29 18:40:00,36.8761100769043,21.0
2019-07-29 18:41:00,36.87849807739258,24.0
2019-07-29 18:42:00,36.8786735534668,23.0
2019-07-29 18:43:00,36.87662887573242,24.0
2019-07-29 18:44:00,36.8773307800293,24.0
2019-07-29 18:45:00,36.873992919921875,25.0
2019-07-29 18:46:00,36.88083267211914,29.0
2019-07-29 18:47:00,36.853004455566406,35.0
2019-07-29 18:48:00,36.87620162963867,32.0
2019-07-29 18:49:00,36.87749099731445,42.0
2019-07-29 18:50:00,81.73213195800781,42.0
2019-07-29 18:51:00,36.87928771972656,43.0
2019-07-29 18:52:00,36.87887954711914,31.0
2019-07-29 18:53:00,36.87691116333008,26.0
2019-07-29 18:54:00,36.87657928466797,28.0
2019-07-29 18:55:00,36.87797927856445,30.0
2019-07-29 18:56:00,36.87882614135742,28.0
2019-07-29 18:57:00,36.877403259277344,37.0
2019-07-29 18:58:00,36.87596893310547,24.0
2019-07-29 18:59:00,36.87591552734375,27.0
2019-07-29 19:00:00,36.87765884399414,30.0
2019-07-29 19:01:00,36.85728454589844,20.0
2019-07-29 19:02:00,36.874412536621094,19.0
2019-07-29 19:03:00,36.87740707397461,19.0
2019-07-29 19:04:00,36.87395095825195,19.0
2019-07-29 19:05:00,36.87735366821289,24.0
2019-07-29 19:06:00,36.87678146362305,19.0
2019-07-29 19:07:00,36.87794494628906,15.0
2019-07-29 19:08:00,36.8778190612793,10.0
2019-07-29 19:09:00,36.87617492675781,13.0
2019-07-29 19:10:00,36.876731872558594,17.0
2019-07-29 19:11:00,36.877166748046875,16.0
2019-07-29 19:12:00,36.880367279052734,16.0
2019-07-29 19:13:00,36.87709045410156,18.0
2019-07-29 19:14:00,81.73200225830078,15.0
2019-07-29 19:15:00,81.73200225830078,9.0
2019-07-29 19:16:00,36.87565994262695,77.0
2019-07-29 19:17:00,36.87980270385742,44.0
2019-07-29 19:18:00,36.87656021118164,47.0
2019-07-29 19:19:00,36.8749885559082,41.0
2019-07-29 19:20:00,36.878597259521484,44.0
2019-07-29 19:21:00,36.8782958984375,42.0
2019-07-29 19:22:00,36.876155853271484,46.0
2019-07-29 19:23:00,36.87716293334961,46.0
2019-07-29 19:24:00,36.878597259521484,45.0
2019-07-29 19:25:00,36.878597259521484,46.0
2019-07-29 19:26:00,36.878902435302734,37.0
2019-07-29 19:27:00,36.8759651184082,38.0
